id,bororo
145,"Nowu noware nowu Apiboregedu uporai rema. Okwa noware taci, iera noware, bure noware, atugore nowa tabo."
146,"Eiamedure ino jamedu. Iwagududoge eiamedu iera ra paru core, bure ra paru core, eporai core, enogwa core. Etadugore irogodutabo, tuiamedutabo (ipare, ime eiamedu; só um que está pindado de barro branco: o Apiboregedu, e só um que está pintado de vermelho: o Paiwedu)."
147,"Icare ere kiogoaro kogudo eiamedu iera ra paru kajeje, eiamedu kana kajeje. Ere ciwaboe etoiaga bu cewu Okoge Cibaiari kudukeje; nabure etoiaga padure ciwaboe etoiaga oiagi; meriri padure kudukeje, pariko cibaiari kogure aogajeje."
148,"Cewu Okoge Kigadurewu, ciwaboe etoiaga padure je keje, bokodori inegi padure kudukeje."
149,"Cewu Birimodo, ciwaboe etoiaga padure je keje, bokodori inegi padure kudukeje."
150,"Ceu Okoge Etoreduje keje, oinore akigu padure, batagaje juko bu padure keje. Bokodori inegi padure keje. Ciwaboe etoiaga padure je keje. Kuido oiagare padure nowu ciwaboe etoiaga oia keje. Bokodori inegi padure kudukeje jamedu. Iedure aroe etugoji (segura em cada mão uma flecha tendo-as cruzadas sobre o peito)."
151,Ere pariko tugu eiamedu aoto. Ere tôro kogudo eiamedu kajeje.
152,"Ere butore kogudo nowu Okoge Kujagurewu bure ra paru kajeje, ere butore kogudo nowu Okoge Kigadurewu bure ra paru kajeje"
153,Icare ere eiado. Meri jeture 4 hs keje dutabore ere etagedudo.
154,Icare Kaigu ure tugeragu tuwaboji (baporoguji).
155,Icare ure ererudo: cugugu cugugu.
156,Ere tuiemagu cuku cuku cuku...
157,Du tonajire Kaigu akore: - Há a aro...we  etare...go...du...re...ga.... owu... owu...
158,"Kodure ebo bororoji, nowu tura tabo jii... tugoda paru kae."
159,Dukeje icare ure togwa rawuje tura piji.
160,Icare ere ciemagu bororoji: cuku cuku cuku...
161,Egore: - m m m m m.... ciemagudutabo bororoji: cuku cuku cuku...
162,"Oinore Bokodori Ecerae areme, oinore eporire bororo okwaji, pobo tabo, nowu tuiedagamage Okoge etaimodace."
163,"Icare nowu Bokodori Ecerae ere etoro kiwuje, ere nowu kiogoaro kiwuje, ere pariko tawuje etao piji, ere meriri, bokodori inegi, rawuje ekudu piji."
164,"Ere etagedudo, icare ere nowu enoroe jeto  nowu aroe ao keje."
165,"Icare Kaigu, Aromerere, emagore tuwiemagei, egore: - Imadumage, tarego bapo kae. Bapo maku Tugarege eiamedu ai, nowu Okogere emawuge eiamedu ai, eragoduwo tuiaduji, tuiadu JURE KIAJI. (Jure Kia jire Tugarege eragodure)."
166,Icare eragodure jii... boeco oia kae (até meia noite).
167,"Icare ere nowu JURE KIA akedudo, ere AO ko."
168,"Dukejere aroe etuo aregodure, ure tumugudo nono ewure paru."
169,"Imadure tabo tu. Dukeje icare ure reko toro tuwai kae, ure jeto toro tada tuieda keje."
170,Icare uwadodure Okoge Ebowu (Iw. Cob.) ae. Akore:
171,"Ure mito tu je, mare iere ure pobe: Iere Aroe Umuguio, iere Aroe Apido."
172,"Icare boecodure, icare enudure."
173,"Icare barogwa kododure, dukeje icare rekodure ae (Baramere rekodure Okoge Ebowu ae)."
174,"Icare ure turagojedo, icare uture apo. Kodo apo jii... toro tuwai kae (Para a casa de Baramere), ure mugudo nono kodo baa keje."
175,Akore: - Ca! Nonogo tugu to.
176,"Ure kiogoaro kogudo kana kajeje, iera ra paru kajeje, ure ia (kiogoaro) bu aobaru kajeje. Ure pariko kogudo ao kajeje. Ure ciwaboe etoiaga bu je keje."
177,"Kuido oburugu (pena do meio do rabo da arara amarela) padure oiagiwu ciwaboe etoiaga, emare padure je keje. Icare ure tôro kogudo  kajeje, ure butore kogudo bure kajeje."
178,"Nowu uwobe oragudure (uma mulher Bokodori chora) nowu tuiedaga Umuguio keje, tuiedaga Apido keje."
179,Akore: - Ema paje Mairodo utugodo jetuiageje.
180,"Oino, tui kujagudo dutabo."
181,Icare ure akedudo dukejere icare uture apo. Kodo apo ji... bororo kae.
182,"Ure buredo tu, nowu aroe ao keje."
183,"Meri jeture pae jaka keje dutabo (9 horas), (boe ee jaka = fenda entre o nariz e a sobrancelha)."
184,"Icare akogodure tuduwo bororoji, akore: - m m m m m..."
185,"Icare uture cuku cuku cuku, ciemagudutabo."
186,"Kodure bororo uta kae. Ure tumugudo kuri tuku, akore: m m m m m..."
187,"Icare ure turagojedo pugeje, icare uture pugeje: cuku cuku cuku, bororo jeke kae"
